Name,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,GDP,HBP,SH,SF,IBB
Alexis Díaz,CIN,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elías Díaz,COL,141,526,486,48,130,25,1,14,72,1,0,34,118,12,2,0,4,0
Isan Díaz*,TOT,8,26,24,0,1,0,0,0,1,0,0,2,9,0,0,0,0,0
Isan Díaz*,SFG,6,21,19,0,1,0,0,0,1,0,0,2,7,0,0,0,0,0
Isan Díaz*,DET,2,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Jordan Diaz,OAK,90,293,272,20,60,9,0,10,27,0,1,17,69,10,3,0,1,0
Yainer Diaz,HOU,104,377,355,51,100,22,0,23,60,0,0,11,74,12,5,0,6,0
Yandy Díaz,TBR,137,600,525,95,173,35,0,22,78,0,1,65,94,16,8,0,2,0
Corey Dickerson*,WSN,50,152,144,12,36,7,1,2,17,0,1,7,28,3,0,0,1,0
Brandon Dixon,SDP,33,86,79,10,16,4,0,2,9,1,0,1,31,1,4,0,2,0
Jasson Domínguez#,NYY,8,33,31,6,8,1,0,4,7,1,0,2,8,1,0,0,0,0
Josh Donaldson,TOT,50,189,165,18,25,5,0,13,26,0,0,22,50,6,0,0,2,0
Josh Donaldson,NYY,33,120,106,13,15,1,0,10,15,0,0,12,32,2,0,0,2,0
Josh Donaldson,MIL,17,69,59,5,10,4,0,3,11,0,0,10,18,4,0,0,0,0
Brendan Donovan*,STL,95,371,327,48,93,10,1,11,34,5,1,33,53,4,9,1,1,2
Camilo Doval,SFG,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeter Downs,WSN,6,9,5,4,2,0,0,0,1,2,0,4,1,0,0,0,0,0
Brenton Doyle,COL,126,431,399,48,81,16,5,10,48,22,5,22,151,9,4,3,3,0
Hunter Dozier,KCR,29,91,82,8,15,2,1,2,9,2,0,8,29,0,0,0,1,0
Brandon Drury,LAA,125,523,485,61,127,30,3,26,83,0,2,25,136,14,8,0,5,0
Daniel Duarte,CIN,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauricio Dubón,HOU,132,492,467,76,130,26,3,10,46,7,2,19,70,10,3,0,3,0
Matt Duffy,KCR,78,209,191,17,48,8,0,2,16,1,0,12,39,4,4,0,2,0
Ezequiel Duran,TEX,122,439,406,55,112,22,2,14,46,8,4,23,120,7,7,1,2,1
Jarren Duran*,BOS,102,362,332,46,98,34,2,8,40,24,2,24,90,3,3,0,2,1
Adam Duvall,BOS,92,353,320,45,79,24,2,21,58,4,0,22,110,0,6,0,5,1
Nate Eaton,KCR,28,56,53,2,4,0,0,0,1,3,0,2,21,0,1,0,0,0
Cam Eden,TOR,5,6,6,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0
Tommy Edman#,STL,137,528,479,69,119,25,4,13,47,27,4,35,84,9,7,3,4,1
Xavier Edwards#,MIA,30,84,78,12,23,3,0,0,3,5,0,3,14,1,1,2,0,0
Drew Ellis,PHI,12,29,23,4,5,0,0,2,4,0,1,6,7,0,0,0,0,0
Christian Encarnacion-Strand,CIN,63,241,222,29,60,7,0,13,37,2,0,14,69,5,5,0,0,0
Adam Engel,SDP,5,6,6,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
Eduardo Escobar#,TOT,99,309,288,32,65,6,5,6,31,2,1,18,78,7,0,1,2,0
Eduardo Escobar#,NYM,40,120,110,15,26,3,2,4,16,2,0,8,24,4,0,1,1,0
Eduardo Escobar#,LAA,59,189,178,17,39,3,3,2,15,0,1,10,54,3,0,0,1,0
Santiago Espinal,TOR,93,254,230,30,57,14,0,2,25,2,1,18,36,5,3,2,1,1
Thairo Estrada,SFG,120,530,495,63,134,26,2,14,49,23,7,22,120,10,11,0,2,1
Stuart Fairchild,CIN,97,255,219,34,50,16,2,5,28,10,3,25,69,2,6,3,2,0
Buck Farmer*,CIN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Farmer,MIN,120,369,336,49,86,14,2,11,46,2,4,23,86,7,8,0,2,0
Caleb Ferguson,LAD,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Freddy Fermin,KCR,70,235,217,26,61,10,1,9,32,0,0,13,50,11,1,1,3,0
José Fermín,STL,21,61,51,2,12,1,0,0,4,0,1,6,8,1,2,2,0,0
Tyler Fitzgerald,SFG,10,34,32,3,7,2,0,2,5,2,0,2,10,0,0,0,0,0
David Fletcher,LAA,33,97,89,7,22,1,0,2,12,0,0,7,9,2,0,1,0,1
Dominic Fletcher*,ARI,28,102,93,10,28,5,1,2,14,0,2,7,22,0,0,2,0,1
Wilmer Flores,SFG,126,454,405,51,115,22,0,23,60,0,0,41,63,13,5,0,3,1
Estevan Florial*,NYY,19,71,61,5,14,3,1,0,8,3,0,7,20,0,2,0,1,0
Mike Ford*,SEA,83,251,219,32,50,6,0,16,34,0,0,24,81,4,7,0,1,0
Nick Fortes,MIA,108,323,294,33,60,10,0,6,26,4,2,17,59,12,7,3,2,0
Jake Fraley*,CIN,111,380,336,41,86,18,0,15,65,21,5,37,71,5,6,0,1,2
Ty France,SEA,158,665,587,79,147,32,0,12,58,1,0,43,117,25,34,0,1,0
Wander Franco#,TBR,112,491,442,65,124,23,6,17,58,30,10,42,69,18,3,0,4,3
Adam Frazier*,BAL,141,455,412,59,99,21,2,13,60,11,4,32,68,4,4,4,2,0
Clint Frazier,CHW,33,76,66,10,13,1,1,0,3,4,2,10,23,0,0,0,0,0
Freddie Freeman*,LAD,161,730,637,131,211,59,2,29,102,23,1,72,121,14,16,0,5,12
Tyler Freeman,CLE,64,168,153,20,37,7,0,4,18,5,0,10,30,3,2,2,1,0
Sal Frelick*,MIL,57,223,191,29,47,9,1,3,24,7,0,28,37,2,1,0,3,0
